id,stock,old_name,new_name,category,success,message,kind
12999701,6.0,Apple iPhone 12 / 12 Pro Battery,Battery for iPhone 12 / 12 Pro,Mobile phone Batteries,True,Item was updated successfully,
12999400,-1.0,Apple iPhone 12 Mini Battery,Battery for iPhone 12 mini,Mobile phone Batteries,True,Item was updated successfully,
12999702,-4.0,Apple iPhone 12 Pro Battery,Battery for iPhone 12 Pro,Mobile phone Batteries,True,Item was updated successfully,
13000291,0.0,Apple iPhone 13 Mini Battery,Battery for iPhone 13 mini,Mobile phone Batteries,True,Item was updated successfully,
12999890,-1.0,Apple iPhone 13 Pro Battery,Battery for iPhone 13 Pro,Mobile phone Batteries,True,Item was updated successfully,
12999775,-2.0,Apple iPhone 13 Pro Max Battery,Battery for iPhone 13 Pro Max,Mobile phone Batteries,True,Item was updated successfully,
12999475,5.0,Apple iPhone 13 Pro/13 Pro Max Camera Lens,Camera Glass Lens for iPhone 13 Pro/13 Pro Max,Mobile Phone Parts,True,Item was updated successfully,
12999474,3.0,Apple iPhone 13/13 Mini Camera Lens,Camera Glass Lens for iPhone 13/13 mini,Mobile Phone Parts,True,Item was updated successfully,
13000953,-1.0,Apple iPhone 14 Pro Battery,Battery for iPhone 14 Pro,Mobile phone Batteries,True,Item was updated successfully,
13000970,1.0,Apple iPhone 14 Pro Max Battery,Battery for iPhone 14 Pro Max,Mobile phone Batteries,True,Item was updated successfully,
12999856,4.0,Apple iPhone 14 Pro/14 Pro Max Camera Lens,Camera Glass Lens for iPhone 14 Pro/14 Pro Max,Mobile Phone Parts,True,Item was updated successfully,
12999691,5.0,Apple iPhone 14 Pro/14 Pro Max Camera Lens,Camera Glass Lens for iPhone 14 Pro/14 Pro Max,Mobile Phone Parts,True,Item was updated successfully,
12999690,3.0,Apple iPhone 14/14 Plus Camera Lens,Camera Glass Lens for iPhone 14/14 Plus,Mobile Phone Parts,True,Item was updated successfully,
13000962,2.0,Apple iPhone 15 Battery,Battery for iPhone 15,Mobile phone Batteries,True,Item was updated successfully,
13000956,1.0,Apple iPhone 15 Pro Battery,Battery for iPhone 15 Pro,Mobile phone Batteries,True,Item was updated successfully,
13001101,0.0,Apple iPhone 15 Pro Max Battery,Battery for iPhone 15 Pro Max,Mobile phone Batteries,True,Item was updated successfully,
12998637,2.0,Apple iPhone SE 2020 Battery,Battery for iPhone SE 2020,Mobile Phone Parts,True,Item was updated successfully,
13001222,0.0,Asus X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550 Battery,Battery for ASUS X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550,,True,Item was updated successfully,
13001201,0.0,Asus X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550 Battery,Battery for ASUS X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550,,True,Item was updated successfully,
12999224,0.0,Battery Samsung Galaxy Tab A 9.7 T550 T555C P555C P550 6000 mAh EB-BT550ABA,Battery for Samsung Galaxy Tab A 9.7 T550 T555C P555C P550,Mobile Phone Parts,True,Item was updated successfully,
12999664,0.0,Google Pixel 1st Gen S1 B2PW4100 Battery,Battery for Google Pixel 1st Gen S1 B2PW4100,Mobile Phone Parts,True,Item was updated successfully,
12999416,0.0,Google Pixel 3 Battery,Battery for Google Pixel 3,Mobile Phone Parts,True,Item was updated successfully,
12999870,-1.0,Google Pixel 5A Lcd Screen,LCD Screen for Google Pixel 5A,OLD-Phone Screens,True,Item was updated successfully,
